Unnamed: 0,label,text,label_num
3069,ham,"Subject: fw : subject : survivor 2
the contestants ain ' t got a chance !
- - - - - original message - - - - -
from : griffin , barbara [ smtp : griffin @ lonestarsteel . com ]
sent : tuesday , april 17 , 2001 8 : 23 am
to : alan alvestad ( e - mail ) ; dheineke @ tsteel .
com dheineke @ tsteel . com heineke ( e - mail ) ;
k 5 gat @ aol . com k 5 gat @ aol . com com
( e - mail ) ; kim howry ( e - mail ) ; lynda munkres ( e - mail ) ; lvan _ johnson @ hotmail
. com lvan _ johnson @ hotmail
. com com ( e - mail ) ; neals @ hump
. com neals @ hump . com com ( e - mail ) ;
pgordon @ sfasu . edu pgordon @ sfasu
. edu ( e - mail ) ; raymond parker ( e - mail ) ;
teakerl 065 @ aol . com teakerl 065 @ aol
. com com ( e - mail ) ; virginia james ( e - mail )
subject : fw : subject : survivor 2
- - - - - original message - - - - -
from : betty . politte @ claires . com
[ mailto : betty . politte @ claires . com ]
sent : monday , april 16 , 2001 7 : 36 pm
to : eddieferguson @ webtv . net
subject : fwd : subject : survivor 2
subject : survivor 2
a major network is planning the show "" survivor 2 "" this winter . in
response ,
texas is planning "" survivor : texas style . "" the contestants will
start in dallas , travel through waco , austin , san antonio , over to
houston ,
and down to brownsville . they will proceed up to del rio , on to el paso ,
then to midland / odessa , lubbock , and amarillo . from there , they proceed to
abilene , and on to ft . worth and back to dallas .
each will be driving a pink volvo with a bumper sticker that reads , "" i ' m
gay , i voted for al gore , and i ' m here to confiscate your guns . ""
the first one to make it back to dallas wins .",0
4809,spam,"Subject: goldeditor : resource opportunities profiles elgin resources ( elr - tsx )
www . goldeditor . com
lawrence roulston ,
editor of resource opportunities newsletter , is one of the few editors we
follow who is a geologist . we find his copy more conservative than most , and
respect his researched opinion . his recent profile of elgin resources ( elr : tsx ) , a platinum
company , was important for us to read , because we know he followed aquarius
platinum earlier . aquarius is a highly successful company on the london stock exchange . thank you lawrence for allowing us to share your knowledge of
geology and platinum with our subscribers .
lawrence
roulstons
resource opportunities
. . . discovering
value in natural resource stocks
elgin
resources
( elr - tsx )
extracted from the march 2005 - 1 issue
elgin
is in the process of merging with jonpol to create a company with substantial
platinum interests and near - term production potential .
the combined company will have in excess of 12 million
ounces of platinum group metals to its credit , all in the measured and
indicated resource category . most importantly , both of the main deposits that
will initially be held by the new company are presently headed toward early
development .
both of elgins projects are on the eastern limb of
the bushveld complex in south africa . the bushveld is the worlds most
important source of platinum , producing two thirds of the world ' s supply of the
precious metal .
the elgin deposits have grades and other attributes
comparable to nearby profitable operating mines . they have the added benefit of
being located at a shallow depth , with plans to begin mining one of the
deposits as an open pit . by taking advantage of nearby infrastructure , elgin can develop the mines quickly and at modest capital costs .
to read the
entire article , click here :
happy reading , live long and prosper .
the gold editor
gold editor provides , for remuneration , corporate communications and
investor relations services to the above mentioned client ( s ) . the information
contained in this email is based on existing disclosure documents or other
publicly available information . you are encouraged to seek independent
verification of any information that is important to your decisions . neither
gold editor nor the mentioned client ( s ) is offering securities or advising or
soliciting the purchase or sale of the securities .
www . goldeditor . com
to be removed from this distribution list , click on
the box below .
gold editor po box 48451 bentall centre vancouver , bc v 7 x la 2 canada
",1
551,ham,"Subject: panenergy marketing company
because of a timing issue with client services , i have fixed deal 157288 ,
separating the carthage meter to a new ticket . that ticket is 229758 . the
price for the carthage is suppose to be if hsc - . 06 .
stacy : i will need feb pathed asap so volume mgmt can get the volumes
moved . client services needs to get this invoice out today .
this problem , among others with this exchange deal , is currently we have a
massive a / r issue and we ' re trying to get this cleanup before end of month .
if you have any questions , please feel free to call me .",0
5,ham,"Subject: mcmullen gas for 11 / 99
jackie ,
since the inlet to 3 river plant is shut in on 10 / 19 / 99 ( the last day of
flow ) :
at what meter is the mcmullen gas being diverted to ?
at what meter is hpl buying the residue gas ? ( this is the gas from teco ,
vastar , vintage , tejones , and swift )
i still see active deals at meter 3405 in path manager for teco , vastar ,
vintage , tejones , and swift
i also see gas scheduled in pops at meter 3404 and 3405 .
please advice . we need to resolve this as soon as possible so settlement
can send out payments .
thanks",0
676,ham,"Subject: memo and presentation from brian redmond
please see the attached :",0
4532,spam,"Subject: pain is killing you
sun , 05 dec 2004 06 : 36 : 29 - 0500
",1
4229,spam,"Subject: rock her world with the little pill !
click here to be removed
",1
2232,ham,"Subject: re : enerfin meter 980439 for 10 / 00
jackie , talk to darren about this . the deal you reference is an hpl deal with
dynegy and i don ' t have access to it . i ' m on the east desk . yesterday i
extended the deal 421415 for the 6 th and 19 th and meredith inserted a path in
unify - tetco to cover the small overflow volume between hpl and ena . the
ena / hpl piece is done . the piece between hpl and dynegy is what you need
inserted . thanks
jackie young
12 / 15 / 2000 11 : 32 am
to : sherlyn schumack / hou / ect @ ect
cc : victor lamadrid / hou / ect @ ect
subject : re : enerfin meter 980439 for 10 / 00
sherlyn , i ' ve placed the correct volumes for days 6 and 9 for ena . i ' ll have
the deal extended for dynegy and let you know when it ' s done .
victor , can you extend the deal 422516 for days 6 and 9 please ? thanks . oh
and by the way , i had mistaken you for someone else when i sent you the
e - mail on yesterday . sorry . i thought that i knew you . anyway , please
advise when you ' ve extended the deal so that sherlyn can create an accounting
arrangement .
thanks
- jackie -
3 - 9497
to : jackie young / hou / ect @ ect
cc : rita wynne / hou / ect @ ect
subject : re : enerfin meter 980439 for 10 / 00
i don ' t want to tell you to add any contracts , because i am not sure about
that . i am just saying if you look at ray ' s schedule there are 2 deals out
there , one is a purchase from ena and the other a purchase from dynegy . the
track id i gave you was for ena . you cannot allocate the dynegy piece
until i give you a track id . i cannot give you a track id until the deal is
extended for days 10 / 6 and 10 / 19 .
jackie young
12 / 15 / 2000 10 : 51 am
to : sherlyn schumack / hou / ect @ ect
cc :
subject : re : enerfin meter 980439 for 10 / 00
arre you saying that for both days that two ( 2 ) ena contracts should be
placed at the meter for days 6 and 19 and then allocating half of the the
total volume to each contract ?
to : jackie young / hou / ect @ ect
cc : rita wynne / hou / ect @ ect
subject : re : enerfin meter 980439 for 10 / 00
jackie ,
you did not allocate this according to ray ' s schedule . the track id i gave
you was only for the purchase from ena . you need to extend the deal for the
purchase from dynegy . you put all of the volume on these 2 days on ena ,
that is not what is on ray ' s schedule , so we are still out on the
interconnect report .
jackie young
12 / 15 / 2000 10 : 30 am
to : sherlyn schumack / hou / ect @ ect
cc : alfonso trabulsi / hou / ect @ ect , rita wynne / hou / ect @ ect , gregg
lenart / hou / ect @ ect
subject : re : enerfin meter 980439 for 10 / 00
accounting arrangement has been placed . meter has been reallocated .
thanks and let me know if you need anything else .
- jackie -
3 - 9497
from : sherlyn schumack 12 / 15 / 2000 10 : 00 am
to : jackie young / hou / ect @ ect , alfonso trabulsi / hou / ect @ ect
cc : rita wynne / hou / ect @ ect , gregg lenart / hou / ect @ ect
subject : enerfin meter 980439 for 10 / 00
jackie ,
your allocation is correct with the exception of days 10 / 6 and 10 / 19 where
strangers gas is allocated . i have created an accounting arrangement for
these days and the new track id for ena is 240384 . please allocate the ena
portion according to rays schedule for these 2 days . deal 422516 ( purchase
from dynegy ) needs to be extended for these 2 days so i can do an accounting
arrangement . alfonso i need for you to allocate your meter daily , because
we have tiered pricing this month .
thanks .",0
3440,ham,"Subject: fw : guadalupe power partners
fyi
- - - - - original message - - - - -
from : coffey jr . , jim
sent : tuesday , august 21 , 2001 1 : 19 pm
to : baumbach , david
cc : washington , deanna ; denetsosie , troy
subject : fw : guadalupe power partners
david
can you answer with some specifics to jeff ' s question on ( a ) "" do we know anything about purchases and sales ? ""
- - - - - original message - - - - -
from : rozycki , joanne
sent : tuesday , august 21 , 2001 11 : 13 am
to : coffey jr . , jim
cc : bryan , gary ; gray , barbara n . ; redmond , brian
subject : guadalupe power partners
the attached are being forwarded at the request of jeff hodge .
joanne rozycki
senior administrative assistant
enron north america corp .
1400 smith street , eb 3880 d
houston , tx 77002
phone : ( 713 ) 853 - 5968 fax : ( 713 ) 646 - 3490
email : joanne . rozycki @ enron . com",0
858,ham,"Subject: meter 385
daren - is there a reason there is a nom of 20 . 000 / day at meter 385 ? this is
a non - allocatable meter .
al",0
587,ham,"Subject: new employee
i am pleased to announce that sabrae zajac will be joining the texas desk
logistics group next week , april 10 th .
she joins us from the ena offsystem settlements group and previously from
koch industries . she can be reached
at ext . 36381 . thanks , pat",0
468,ham,"Subject: chris hose corrected resume
daren ,
i found a mispelling on the resume i sent you earlier . here is a revised
version .
thanks ,
chris h .
get your private , free email at http : / / www . hotmail . com
- chris hose management resume . doc",0
4473,spam,"Subject: you pay too much for meds !
got a condition ?
if you require any of the medications below ,
save up to 80 % here :
http : / / www . lvsdfbefd . info / 92 /
allergy : claritin - zyrtec
antibiotic : asacol - ceftin - cipro - tequin
anti depressant : celexa - effexor - paxil - prozac - remeron - zoloft
anxiety : buspar - valium - xanax
arthritis : arava - rheumatrex
blood pressure : altace - avapro - cardizem - cozaar - flomax - norvasc - plavix
bone and joint : fosamax
cancer : nolvadex - purinethol
cholesterol : lipitor - pravachol - zocor
diabetes : actos - avandia - glucophage
hair loss : propecia
headhache : imitrex
heart burn : aciphex
hepatitis b : epivir
herpes : neurontin
hiv : retrovir - sustiva - videx - viramune - zerit
muscle relaxant : soma
nausea : zofran
pain relief : bextra - celebrex - vioxx
seizures : lamictal
sexual health : cialis - viagra
skin : oxsoralen
sleep aid : ambien
smoking : zyban
upset stomach : nexium - prevacid - prilosec
weight loss : meridia
women ' s health : diflucan - evista
ladybug frogsrugby rhonda barry
tequila crackerkingdom shawn sarahl wright scubal josh
ledzep angels jimbo
center naomiscarlett impala hanna
asterix flight septembe
rhonda playercarlos raptor taffy
roy kissdodgers planet sugar tintin sweety utopia
",1
4138,spam,"Subject: swjlmiqqt the fountain of youth
ajuinbol balzak
fda approved medications
online .
zbila torin hlok
xanax , valium , phentermine ,
super via . gr @ , and much
more .
sovtverskih slid modi
fast and secure
fiiuvgccdq ix lrhrfw ekl eiiuvgccdq frhrfw pkl
ko
yes ,
hook me up
margit bloodwit oin
prikinut aj svidrir
promisljene uruk - hai glejpnir
- - - - - original message - - - - -
from : george [ mailto : jhhva @ jxwyvm . com ]
sent : friday , february 27 , 2004 12 : 48 pm
to : mike
subject : re : question
pobunjenici milcom farbauti
seeking brain ' plasticity ' in his study , slated for publication in the
august issue of psychological science , schellenberg makeed 12 toronto - area
six - year - olds weekly voice or piano lessons at the royal conservatory of
music , described by schellenberg as canada ' s "" most prestigious music
conservatory . ""
he chose six - year - olds because their developing brains still retain a large
degree of "" plasticity , "" defined as "" the ability of the brain to change and
adapt to environmental stimuli . ""
he also is charged with assaulting a third woman who was walking to a ' s
house when she was d by a motorist who had asked her for directions .
proto ` nico 5 trebejueloo 5 zangarilleja , remudamiento edificador .
",1
188,ham,"Subject: office administrator needed
please feel free to forward this .
i am a senior financial advisor with american express financial advisors in
the woodlands , tx . if you or someone you knows has experience helping to
run an office in a fast paced environment and has an interest in the
financial world , i would love to visit . i am offering a competitive
salary , great work environment , fabulous learning opportunities and an
unlimited growth potential . benefits are included .
position purpose :
to assist me in areas of financial planning , marketing and administration .
tasks include but are not limited to setting appointments with clients ,
completing applications , communication with the corporate office ,
confirming appointments , ordering supplies , typing letters , staff
management , and more .
please feel free to forward your resume to me or call directly at the
number listed below .
make it a great day !
byron w . ellis , cfp , clu , chfc
american express financial advisors
town center one
1450 lake robbins dr .
suite 100
the woodlands , tx 77380
phone ( 281 ) 367 - 8658
fax ( 281 ) 364 - 9628",0
68,ham,"Subject: koch three rivers , # 6722
aimee -
gas control has some line work scheduled for 1 / 4 , 5 , 6 that will affect the
referenced point . dynegy has nom ' d 1800 at this point which i ' m assuming
they ' ll want baseload for january . the desk also appears to have some gas
nom ' d out here ( approx 1200 mm ) . rather than cut these volumes , would you
try to negotiate with koch not to flow this gas during the outage , but to
make it up as soon as the outage is over ( they may be able to begin flow on
1 / 6 ) ? please let me know as soon as possible .
thanks .",0
696,ham,"Subject: calpine may
total nom apr 81
mar 79
feb 85
average of 3 : 82
does this average represent a good estimate of the calpine may nom ?
ami",0
1931,ham,"Subject: nov 1 st entex nom
- - - - - - - - - - - - - - - - - - - - - - forwarded by liz bellamy / na / enron on 10 / 27 / 2000 11 : 37
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 10 / 27 / 2000 11 : 15 : 30 am
to : lbellamy @ enron . com
cc : janet . h . wallis @ enron . com , troy _ a _ benoit @ reliantenergy . com
subject : nov 1 st entex nom
as promised our nov 1 noms are attached . . . let us know if you need anything
. . . lets hope for some weather . . . .
( see attached file : hpl - nov . xls )
- hpl - nov . xls",0
